part_date;part_dec;teach_mod;hei;know_area;gender;age_group;mar_status;comp_home;internet;ethnic;educ;income_home;children;family_size;prev_exp;pe1;pe2;pe3;ee1;ee2;ee3;ee4;si1;si2;si3;fc1;fc2;fc3;fc4;hm1;hm2;hm3;ht1;ht2;ht3;lv1;lv2;lv3;ti1;ti2;ti3;as1;as2;as3;bi1;bi2;bi3
2020-10-30;Sí, deseo participar.;Presencial;Universidad De Las Américas;INGENIERÍA MECÁNICA;Male;35 años a 44 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;4;Nula;5;5;5;5;5;4;5;3;3;4;5;5;4;5;4;4;4;4;4;3;4;5;5;4;4;5;4;4;4;4;4;4
2020-10-30;Sí, deseo participar.;Virtual (a distancia);Universidad UTE;MATEMÁTICAS;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;5;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-10-30;Sí, deseo participar.;Presencial;Universidad Andina Simón Bolívar;ECONOMÍA Y NEGOCIOS;Male;Más de 54;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;2;5;Baja;4;4;4;4;3;4;4;2;2;2;4;4;3;2;3;3;3;3;2;2;2;3;3;4;3;3;3;3;3;5;4;5
2020-10-30;Sí, deseo participar.;Presencial;Universidad De Guayaquil;ECONOMÍA Y NEGOCIOS;Male;Más de 54;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;2;5;Baja;4;4;4;4;3;4;4;2;2;2;4;4;3;2;3;3;3;3;2;2;2;3;3;4;3;3;3;3;3;5;4;5
2020-10-30;Sí, deseo participar.;Ambas;Universidad De Las Américas;CIENCIAS DE LA EDUCACIÓN;Male;Más de 54;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;4;4;Nula;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;1;3;4;5;5;5;4;4;4;5;5;5;4;4
2020-10-30;Sí, deseo participar.;Ambas;Universidad Politécnica Salesiana;INGENIERÍA AMBIENTAL;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;5;Alta;3;3;3;4;5;5;4;3;3;2;5;4;3;4;4;4;3;3;2;2;2;3;3;3;2;3;4;3;3;5;5;5
2020-10-30;Sí, deseo participar.;Presencial;Universidad Agraria Del Ecuador;CIENCIAS QUÍMICAS;Female;35 años a 44 años;Unión de hecho;Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;0;2;Ni alta ni baja;3;3;2;3;3;3;3;3;3;3;3;3;3;3;1;1;1;3;1;1;1;1;1;1;1;1;3;3;3;5;5;5
2020-10-31;Sí, deseo participar.;Presencial;Universidad Técnica De Machala;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Female;45 años a 54 años;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;4;Baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;2;5;5;5;3;4;5;5;5;5;5;5
2020-11-01;Sí, deseo participar.;Presencial;Universidad Técnica De Machala;INGENIERÍA AMBIENTAL;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;4;Baja;5;5;5;5;5;5;5;4;4;4;5;5;4;4;4;4;4;4;3;4;4;5;5;5;5;5;4;5;5;5;5;5
2020-11-02;Sí, deseo participar.;Virtual (a distancia);Universidad Técnica De Manabí;OTRAS CIENCIAS NATURALES;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;2;4;Ni alta ni baja;5;5;5;5;5;4;4;5;5;4;4;4;4;4;4;4;5;5;4;4;5;4;4;5;4;5;4;5;4;5;5;5
2020-11-03;Sí, deseo participar.;Virtual (a distancia);Universidad De Las Américas;DERECHO;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Maestría;Mayor a 5000;2;4;Nula;3;3;3;5;4;4;4;4;3;3;4;5;4;3;2;4;3;3;2;2;4;4;5;3;2;3;4;3;4;5;5;5
2020-11-03;Sí, deseo participar.;Virtual (a distancia);Pontificia Universidad Católica Del Ecuador;OTRAS CIENCIAS SOCIALES;Female;45 años a 54 años;Divorciado(a);Sí;Sí;Blanco;Maestría;Entre 1500 y 5000;4;7;Alta;5;4;4;4;5;5;4;5;5;5;5;4;4;4;2;2;2;5;5;3;4;4;4;4;4;2;4;4;4;3;5;5
2020-11-03;Sí, deseo participar.;Virtual (a distancia);Universidad Laica Eloy Alfaro De Manabí;OTRAS CIENCIAS NATURALES;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;2;4;Ni alta ni baja;5;5;5;5;5;4;4;5;5;4;4;4;4;4;4;4;5;5;4;4;5;4;4;5;4;5;4;5;4;5;5;5
2020-11-03;Sí, deseo participar.;Ambas;Universidad Del Azuay;OTRAS CIENCIAS SOCIALES;Female;Más de 54;Casado(a);Sí;Sí;Mestizo;Maestría;Mayor a 5000;4;2;Ni alta ni baja;5;5;5;4;4;4;3;3;3;4;5;5;5;5;5;5;5;5;4;4;4;5;5;4;3;4;4;3;4;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad Internacional Sek Ecuador;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;4;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad de Cuenca;INGENIERÍA QUÍMICA;Female;25 años a 34 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;3;5;Ni alta ni baja;3;3;3;3;3;3;4;4;3;3;3;2;4;3;3;3;4;3;3;3;4;3;3;4;2;3;1;3;5;5;4;4
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Del Azuay;INGENIERÍA QUÍMICA;Male;45 años a 54 años;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;1;2;Ni alta ni baja;5;5;5;4;5;5;5;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Casa Grande;CIENCIAS QUÍMICAS;Female;Más de 54;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;0;2;Nula;5;5;5;5;5;4;4;1;1;1;5;5;3;5;3;4;3;5;3;3;4;5;5;5;3;3;4;3;4;4;4;4
2020-11-04;Sí, deseo participar.;Presencial;Universidad Católica De Cuenca;OTRAS INGENIERÍAS Y TECNOLOGÍAS;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;3;5;Baja;5;4;4;5;5;4;4;3;4;3;5;5;3;4;4;5;5;5;4;4;4;4;5;5;4;5;5;4;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad Católica De Cuenca;MATEMÁTICAS;Male;45 años a 54 años;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;3;Baja;3;2;2;3;4;3;3;3;3;3;3;3;3;3;3;3;1;1;2;2;3;4;3;4;3;3;3;2;4;3;3;3
2020-11-04;Sí, deseo participar.;Ambas;Universidad De Guayaquil;MATEMÁTICAS;Male;35 años a 44 años;Unión de hecho;Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;5;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Internacional Del Ecuador;INGENIERÍA CIVIL;Female;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;5;Ni alta ni baja;5;5;4;5;5;4;4;5;4;5;5;5;5;5;5;4;4;5;3;3;4;5;5;4;3;3;3;3;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad UTE;CIENCIAS FÍSICAS;Male;45 años a 54 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;5;Baja;5;4;3;5;5;5;4;4;4;4;5;5;5;5;4;4;4;3;1;4;5;5;5;5;4;5;4;4;4;4;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad Regional Autonoma De Los Andes;INGENIERÍA ELÉCTRICA, ELECTRÓNICA E INFORMÁTICA;Male;Más de 54;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;5;Ni alta ni baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;4;5;4;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Católica De Santiago De Guayaquil;MATEMÁTICAS;Female;25 años a 34 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;5;Ni alta ni baja;5;5;5;5;5;4;5;3;3;4;5;4;5;5;4;4;5;5;4;4;3;5;4;4;3;3;3;3;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad De Las Américas;CIENCIAS QUÍMICAS;Male;25 años a 34 años;Soltero(a);Sí;Sí;Blanco;Maestría;Entre 1500 y 5000;0;2;Nula;5;5;2;4;4;4;4;3;3;3;5;5;4;3;1;1;1;1;1;1;4;3;1;4;3;3;3;4;2;1;3;3
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Escuela Superior Politécnica Del Chimborazo;CIENCIAS QUÍMICAS;Female;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;6;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Politécnica Salesiana;MATEMÁTICAS;Male;Más de 54;Casado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;2;4;Nula;5;5;5;5;4;4;4;3;3;3;4;4;3;4;3;3;3;4;4;3;3;5;4;4;3;5;3;5;5;5;4;4
2020-11-04;Sí, deseo participar.;Ambas;Pontificia Universidad Católica Del Ecuador;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Male;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;1;10;Nula;3;3;3;5;5;3;4;3;3;4;3;5;3;1;3;3;3;3;5;3;3;3;3;4;1;3;3;3;3;3;4;4
2020-11-04;Sí, deseo participar.;Presencial;Universidad Central Del Ecuador;MATEMÁTICAS;Male;Más de 54;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;4;Baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;3;4;3;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Nacional De Loja;INGENIERÍA MECÁNICA;Male;35 años a 44 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;0;5;Nula;5;5;5;5;5;5;5;4;4;5;5;4;5;4;5;5;5;5;4;5;5;5;5;4;3;4;4;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad Técnica De Machala;MATEMÁTICAS;Female;35 años a 44 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;2;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;5;5;4;4;4;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad Técnica Del Norte;IDIOMAS Y LITERATURA;Female;35 años a 44 años;Soltero(a);Sí;Sí;Afroecuatoriano;Maestría;Entre 1500 y 5000;1;3;Nula;5;5;5;5;5;5;5;3;5;5;5;4;5;5;5;5;5;5;3;5;5;5;5;5;4;5;5;4;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad de Cuenca;MATEMÁTICAS;Female;25 años a 34 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;0;2;Ni alta ni baja;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;2;5;2;5;5;4;4;4;4;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad Andina Simón Bolívar;PSICOLOGÍA;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;5;Ni alta ni baja;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;2;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad De Guayaquil;CIENCIAS DE LA EDUCACIÓN;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;3;5;Baja;3;3;4;5;4;4;4;5;4;4;5;4;4;4;4;4;4;5;4;4;4;4;3;4;4;4;3;4;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad Central Del Ecuador;PSICOLOGÍA;Male;35 años a 44 años;Unión de hecho;Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;0;2;Ni alta ni baja;4;4;5;3;3;3;3;5;3;3;5;4;4;4;3;3;3;4;3;2;3;5;4;4;4;5;2;4;4;4;3;4
2020-11-04;Sí, deseo participar.;Ambas;Universidad Nacional De Chimborazo;DERECHO;Female;Más de 54;Viudo(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;2;1;Baja;5;5;5;5;5;5;5;5;5;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Católica De Santiago De Guayaquil;DERECHO;Female;25 años a 34 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;0;2;Ni alta ni baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4
2020-11-04;Sí, deseo participar.;Ambas;Universidad Internacional Sek Ecuador;PSICOLOGÍA;Female;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;7;Ni alta ni baja;5;5;5;5;5;5;5;1;1;1;5;4;5;1;5;5;5;5;1;4;5;5;5;5;2;5;4;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Pontificia Universidad Católica Del Ecuador;CIENCIAS DE LA EDUCACIÓN;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;3;6;Alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Nacional De Chimborazo;DERECHO;Male;25 años a 34 años;Casado(a);Sí;Sí;Mestizo;Tercer Nivel (universitario);Menor a 1500;2;4;Nula;5;5;5;5;5;5;5;3;3;3;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Técnica De Babahoyo;CIENCIAS DE LA EDUCACIÓN;Female;45 años a 54 años;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;2;6;Nula;5;5;4;5;5;5;5;5;5;5;5;5;5;2;3;3;3;2;1;1;4;5;5;5;3;5;3;4;4;4;5;4
2020-11-04;Sí, deseo participar.;Virtual (a distancia);Universidad Católica De Cuenca;DERECHO;Female;35 años a 44 años;Soltero(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;0;3;Nula;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad Católica De Cuenca;MATEMÁTICAS;Male;25 años a 34 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;1;3;Baja;5;5;4;5;5;5;5;5;3;5;5;5;5;5;4;4;5;5;2;4;5;5;5;5;4;5;5;4;5;5;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad Estatal De Milagro;DERECHO;Female;Más de 54;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;4;5;Baja;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;4;3;4
2020-11-04;Sí, deseo participar.;Presencial;Universidad Regional Autonoma De Los Andes;CIENCIAS QUÍMICAS;Male;Más de 54;Divorciado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;4;Baja;5;5;4;3;4;4;5;4;4;4;5;3;5;5;3;3;3;3;3;5;4;5;5;5;3;4;3;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad Técnica De Ambato;MATEMÁTICAS;Female;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;7;Nula;5;5;5;4;4;4;3;1;1;3;5;4;4;5;3;3;2;4;5;4;2;4;4;3;3;3;3;2;3;3;5;5
2020-11-04;Sí, deseo participar.;Presencial;Universidad De Guayaquil;CIENCIAS DE LA EDUCACIÓN;Female;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;1;4;Baja;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad De Guayaquil;CIENCIAS DE LA EDUCACIÓN;Male;35 años a 44 años;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;1;8;Muy alta;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2020-11-04;Sí, deseo participar.;Ambas;Universidad Estatal De Bolivar;CIENCIAS DE LA EDUCACIÓN;Female;35 años a 44 años;Casado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;3;5;Ni alta ni baja;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;1;5;5;5;5;4;2;2
2020-11-04;Sí, deseo participar.;Ambas;Universidad Católica De Santiago De Guayaquil;CIENCIAS QUÍMICAS;Male;45 años a 54 años;Divorciado(a);Sí;Sí;Blanco;Maestría;Entre 1500 y 5000;1;2;Alta;5;5;4;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;4;4;4;5;5;5;4;4;4;5;5;5;5;5
2020-11-05;Sí, deseo participar.;Virtual (a distancia);Universidad Tecnológica Israel;CIENCIAS QUÍMICAS;Female;45 años a 54 años;Divorciado(a);Sí;Sí;Mestizo;Maestría;Menor a 1500;3;4;Nula;4;4;4;3;2;3;3;2;3;3;2;3;4;4;2;2;2;1;1;1;5;3;3;3;3;3;3;3;3;2;2;2
2020-11-05;Sí, deseo participar.;Presencial;Universidad de Cuenca;CIENCIAS DE LA EDUCACIÓN;Male;35 años a 44 años;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;1;2;Ni alta ni baja;5;3;4;4;4;4;4;3;3;3;5;3;3;2;3;3;3;3;3;3;3;4;4;3;3;4;3;5;4;4;3;3
2020-11-05;Sí, deseo participar.;Ambas;Universidad De Guayaquil;CIENCIAS DE LA EDUCACIÓN;Male;Más de 54;Casado(a);Sí;Sí;Blanco;Maestría;Entre 1500 y 5000;3;2;Baja;5;5;5;4;4;5;4;2;2;2;5;4;5;4;3;4;2;4;4;4;3;3;4;4;3;4;4;4;4;4;4;4
2020-11-05;Sí, deseo participar.;Ambas;Universidad Central Del Ecuador;CIENCIAS DE LA EDUCACIÓN;Female;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;2;5;Baja;2;2;3;4;4;4;3;4;4;4;5;4;5;5;3;3;3;5;3;5;3;4;5;5;3;4;4;5;5;5;4;4
2020-11-05;Sí, deseo participar.;Ambas;Universidad Central Del Ecuador;CIENCIAS DE LA EDUCACIÓN;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Doctorado;Entre 1500 y 5000;2;4;Nula;5;5;5;4;3;4;4;1;1;1;5;4;3;2;2;2;2;2;2;1;3;3;3;3;1;3;3;3;3;3;2;2
2020-11-06;Sí, deseo participar.;Virtual (a distancia);Universidad UTE;CIENCIAS DE LA SALUD;Male;45 años a 54 años;Casado(a);Sí;Sí;Blanco;Doctorado;Entre 1500 y 5000;0;3;Alta;4;4;4;5;5;5;5;3;3;4;5;5;5;4;4;4;4;4;4;4;5;4;5;4;5;4;5;4;5;5;5;5
2020-11-08;Sí, deseo participar.;Presencial;Universidad UTE;COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN;Male;45 años a 54 años;Casado(a);Sí;Sí;Mestizo;Maestría;Entre 1500 y 5000;3;5;Ni alta ni baja;5;4;4;4;4;4;4;3;2;3;5;5;4;3;4;4;4;4;2;3;3;4;4;2;2;3;4;4;4;5;4;5
